,P1eff,P2eff,P3eff,P4eff,P5eff,SSP1,SSP2,SSP3,SSP4,SSP5,cc,tri,elev,For_Evergr,cell_id
1,0,20,36,36,36,P1,P2,P3,P4,P5,34.54151851,0.667133562,2073.7307,0.964,1
2,0,20,22,0,5,P1,P2,P3,P4,P5,40.68200837,1.581375384,2105.418149,0.985,1
3,36,36,8,0,0,P1,P2,P3,P4,P5,60.98826242,2.170849159,1307.263251,0.994,2
4,0,20,36,36,36,P1,P2,P3,P4,P5,43.8282786,0.778623712,2238.466786,0.751,3
5,0,20,36,36,36,P1,P2,P3,P4,P5,61.95913663,2.364449666,1789.167558,0.987,4
6,0,20,36,36,36,P1,P2,P3,P4,P5,63.34903685,2.797939635,1925.026502,0.968,4
7,36,36,36,36,28,P1,P2,P3,P4,P5,51.30215526,1.245295336,1585.830961,1,6
8,36,36,36,0,0,P1,P2,P3,P4,P5,55.02509935,1.362754367,1590.246479,1,6
9,36,36,15,0,0,P1,P2,P3,P4,P5,41.80843475,0.376604012,1369.964413,0.623,7
11,0,2,26,35,34,P1,P2,P3,P4,P5,64.69518828,1.470174806,1880.224779,0.989,9
12,36,36,36,36,30,P1,P2,P3,P4,P5,59.56168967,1.611934583,1888.881206,1,9
13,36,36,36,36,11,P1,P2,P3,P4,P5,42.91785415,0.558687241,1663.612903,0.893,10
14,36,36,36,36,18,P1,P2,P3,P4,P5,41.13308223,0.435284326,1622.195767,0.972,10
15,36,35,35,36,17,P1,P2,P3,P4,P5,53.92409034,1.433124888,1710.336283,0.983,11
16,35,36,36,33,22,P1,P2,P3,P4,P5,43.53102725,1.154444844,1811.124555,0.981,11
17,0,32,45,36,36,P1,P2,P3,P4,P5,69.37607375,1.589497041,1819.663669,0.922,12
18,0,30,36,36,36,P1,P2,P3,P4,P5,64.98869347,0.965371167,1947.306738,1,12
19,36,36,36,24,0,P1,P2,P3,P4,P5,58.02281767,2.477933237,1673.240283,1,16
20,6,0,0,0,0,P1,P2,P3,P4,P5,59.51956476,2.083453302,1677.824779,1,16
21,36,36,36,36,24,P1,P2,P3,P4,P5,58.32327677,2.922642613,1588.234982,0.974,17
22,36,36,36,24,0,P1,P2,P3,P4,P5,44.08305439,1.423883808,2033.810376,0.949,21
23,36,36,36,36,5,P1,P2,P3,P4,P5,37.7948128,0.940895643,2106.076512,0.85,21
24,36,36,36,36,9,P1,P2,P3,P4,P5,43.14354568,0.520194549,1775.043165,0.945,24
25,36,36,36,35,0,P1,P2,P3,P4,P5,40.91734673,0.558252645,1758.062278,0.844,24
26,36,36,36,30,0,P1,P2,P3,P4,P5,44.21418113,0.755558544,1596.724868,0.958,25
27,36,36,36,36,21,P1,P2,P3,P4,P5,44.88695834,0.904294424,1648.727273,0.966,25
28,26,36,36,36,36,P1,P2,P3,P4,P5,46.59029086,0.433905214,1713.074205,0.966,26
29,26,36,36,36,36,P1,P2,P3,P4,P5,42.5411346,0.665427343,1751.190813,0.882,26
30,26,36,36,36,36,P1,P2,P3,P4,P5,46.0142468,0.715172012,1755.559503,0.983,27
31,26,36,36,36,36,P1,P2,P3,P4,P5,40.47146143,0.565803619,1757.764602,0.985,27
