,P1,P2,P3,P4,P5
1,NA,0,0,0,0
2,NA,0,0,NA,0
3,0,0,0,NA,NA
4,NA,0,0,0,0
5,NA,0,0,0,0
6,NA,0,0,0,0
7,0,0,0,0,0
8,0,0,0,NA,NA
9,0,0,0,NA,NA
10,NA,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,1,1,0,0,0
14,1,1,0,0,0
15,0,0,0,0,0
16,NA,0,0,0,0
17,NA,0,0,0,0
18,0,0,0,0,NA
19,0,NA,NA,NA,NA
20,0,0,0,0,0
21,1,0,0,0,NA
22,1,1,0,0,0
23,0,0,0,0,0
24,0,0,0,0,NA
25,1,0,0,0,NA
26,1,1,1,1,1
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,1,1,1,0,1
34,1,0,1,1,0
35,NA,0,0,0,0
36,NA,0,0,0,0
37,0,0,NA,NA,NA
38,0,0,NA,NA,NA
39,1,1,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,NA,NA,NA,NA
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,1,1,1,1,1
52,0,0,0,0,0
53,1,1,0,0,1
54,1,0,1,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,NA,0,0,0,0
58,NA,0,0,0,0
59,NA,0,0,0,0
60,NA,0,0,0,0
61,0,0,NA,NA,NA
62,0,0,NA,NA,NA
63,NA,0,0,0,0
64,NA,0,0,0,0
65,0,0,0,NA,NA
66,1,1,0,NA,NA
67,0,0,0,0,0
68,1,1,1,0,0
69,1,1,NA,NA,NA
70,0,0,NA,NA,NA
71,NA,0,0,0,0
72,NA,0,0,0,0
73,1,1,0,0,NA
74,1,1,0,0,0
75,1,1,1,1,1
76,1,1,1,1,1
77,1,0,0,0,0
78,1,1,0,1,0
79,1,1,1,0,0
80,0,0,0,0,0
81,1,1,0,0,NA
82,0,0,0,0,NA
83,1,1,1,1,NA
84,0,0,0,0,0
85,1,1,0,0,0
86,0,0,0,0,0
87,1,1,0,1,1
88,1,1,1,NA,NA
89,1,1,0,1,1
90,1,0,NA,NA,NA
91,1,1,1,NA,NA
92,1,1,NA,NA,NA
93,0,0,NA,NA,NA
94,0,0,NA,NA,NA
95,1,1,0,NA,NA
96,0,0,0,0,0
97,0,0,0,NA,NA
98,1,0,0,NA,NA
99,0,0,NA,NA,NA
100,1,1,0,NA,NA
101,1,1,NA,NA,NA
102,0,0,0,0,0
103,1,0,0,0,0
104,0,0,0,NA,NA
105,1,1,1,1,0
106,1,1,1,1,1
107,1,1,1,1,1
108,1,1,1,1,1
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,NA
114,0,0,0,0,NA
115,0,NA,NA,NA,NA
116,0,0,0,0,0
117,1,0,1,1,0
118,0,0,0,0,0
119,1,1,1,0,0
120,1,1,1,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,NA
124,1,0,0,0,NA
125,0,0,0,0,0
126,1,1,1,0,0
127,0,0,0,0,0
128,1,1,1,1,1
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,NA,NA
132,0,0,NA,NA,NA
133,0,0,0,0,0
134,1,1,1,1,1
135,0,0,NA,NA,NA
136,0,0,NA,NA,NA
137,0,0,0,NA,NA
138,1,1,1,0,0
139,0,0,0,NA,NA
140,0,0,0,0,0
141,0,0,0,0,0
142,NA,0,0,0,0
143,1,0,1,0,NA
144,0,0,0,0,NA
145,0,0,0,0,NA
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,NA,NA
149,0,0,0,0,NA
150,0,0,0,0,NA
151,0,0,0,0,NA
152,0,0,0,0,NA
153,0,0,0,NA,NA
154,0,0,0,NA,NA
155,0,0,0,NA,NA
156,0,0,0,NA,NA
157,0,0,0,NA,NA
158,1,1,0,0,NA
159,1,0,0,0,NA
160,0,0,0,0,NA
161,0,0,0,NA,NA
162,1,1,0,NA,NA
163,0,0,0,0,NA
164,0,0,0,NA,NA
165,0,0,0,0,NA
166,1,1,1,0,NA
167,0,0,0,0,NA
168,0,1,1,NA,NA
169,1,0,1,0,NA
170,0,0,0,0,NA
171,0,0,0,0,NA
172,NA,0,0,0,0
173,NA,0,0,0,0
174,1,0,0,0,NA
175,1,1,1,1,NA
176,1,0,0,0,0
177,1,0,0,1,0
178,0,0,0,0,NA
179,1,0,0,0,NA
180,1,1,0,0,NA
181,0,0,0,0,NA
182,0,0,0,0,NA
183,0,0,0,0,NA
184,1,0,1,0,0
185,0,0,1,1,0
186,0,0,0,0,NA
187,0,0,0,0,NA
188,0,0,0,0,0
189,1,0,0,0,NA
190,1,1,1,0,NA
191,NA,1,1,1,0
192,NA,0,0,0,0
193,NA,0,0,0,0
194,NA,0,0,0,0
195,NA,0,0,0,0
196,NA,0,0,0,0
197,1,1,1,0,NA
198,1,1,1,1,0
199,1,1,1,1,1
200,0,0,0,0,0
201,1,1,1,0,0
202,0,0,0,0,0
203,NA,NA,NA,0,NA
204,0,0,0,0,NA
205,1,0,0,0,NA
206,1,1,1,1,NA
207,1,0,0,0,NA
208,0,0,NA,NA,NA
209,1,1,1,0,NA
210,0,0,0,0,NA
211,0,0,0,0,NA
212,0,0,0,0,NA
213,0,0,0,0,NA
214,0,0,0,0,NA
215,1,1,1,1,NA
216,0,0,0,0,NA
217,NA,0,NA,NA,NA
218,NA,0,0,0,0
219,NA,0,1,0,1
220,NA,1,1,1,1
221,NA,1,1,1,1
222,NA,0,0,0,0
223,0,0,NA,NA,NA
224,1,1,1,1,0
225,1,1,0,0,0
226,0,0,0,0,0
227,0,0,0,0,0
228,0,0,0,0,0
229,0,0,0,0,0
230,1,0,0,0,0
231,1,1,0,0,0
232,1,1,NA,NA,NA
233,0,0,NA,NA,NA
234,0,0,NA,NA,NA
235,1,1,NA,NA,NA
236,NA,0,0,0,0
237,NA,0,0,0,0
238,NA,0,1,0,0
239,NA,0,1,1,1
240,1,1,0,NA,NA
241,0,0,NA,NA,NA
242,1,1,1,0,0
243,1,1,1,1,0
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,NA,NA,0,NA,0
248,0,0,0,NA,NA
249,0,0,0,NA,NA
250,0,0,0,NA,NA
251,0,0,0,NA,NA
252,0,0,0,NA,NA
253,0,0,NA,NA,NA
254,0,0,0,NA,NA
255,NA,0,0,0,0
256,NA,1,1,0,1
257,1,0,0,NA,NA
258,0,0,NA,NA,NA
259,0,0,0,NA,NA
260,1,1,1,1,0
261,1,0,1,0,0
262,0,0,0,NA,NA
263,1,1,1,0,0
264,1,1,NA,NA,NA
265,1,1,NA,NA,NA
266,0,0,NA,NA,NA
267,0,0,NA,NA,NA
268,0,0,0,NA,NA
269,0,0,0,NA,NA
270,0,0,0,NA,NA
271,0,NA,NA,NA,NA
272,0,0,NA,NA,NA
273,0,0,NA,NA,NA
274,0,0,NA,NA,NA
275,0,0,NA,NA,NA
276,0,0,0,NA,NA
277,0,0,0,NA,NA
278,1,1,1,1,1
279,1,1,0,1,0
280,1,1,1,0,0
281,0,1,1,0,0
282,1,1,1,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,1,0,0,0,0
287,0,0,0,0,0
288,1,1,NA,NA,NA
289,0,0,NA,NA,NA
290,0,0,0,NA,NA
291,0,0,0,0,0
292,0,0,0,0,0
293,1,0,0,NA,NA
294,0,0,NA,NA,NA
295,0,0,NA,NA,NA
296,0,0,0,NA,NA
297,0,0,0,0,0
298,0,0,0,0,0
299,0,0,0,0,0
300,0,0,0,0,0
301,0,0,0,0,0
302,0,0,0,0,0
303,1,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,1,1,1,0,0
307,1,1,1,1,0
308,1,1,1,0,0
309,1,1,0,1,1
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,1,0,0,0,1
316,0,0,0,0,0
317,0,0,0,0,0
318,1,1,0,0,0
319,1,0,1,0,1
320,1,1,1,1,1
321,0,0,0,0,0
322,0,0,0,0,0
323,0,0,0,0,0
324,0,NA,NA,NA,NA
325,0,0,0,0,NA
326,0,0,0,0,NA
327,0,0,0,0,NA
328,0,0,0,0,NA
329,1,1,0,0,NA
330,0,0,0,0,NA
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,1,1,1,0,0
338,0,0,0,0,NA
339,0,0,0,0,0
340,1,1,1,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,NA
344,0,0,0,0,NA
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,0
350,1,1,1,1,1
351,0,1,1,1,0
352,0,0,0,0,0
353,1,0,1,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,NA
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,1,1,1,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,NA,1,1,1,0
366,NA,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,0
369,1,1,1,0,1
370,1,1,1,1,1
371,0,0,0,0,0
372,0,0,0,0,0
373,0,0,0,0,0
374,0,0,0,0,0
375,0,0,0,0,0
376,0,0,0,0,0
377,0,0,0,0,0
378,1,1,1,0,0
379,0,0,0,0,0
380,0,0,0,0,0
381,1,1,1,1,1
382,1,1,1,1,1
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,1,0,0,0,0
389,0,0,0,1,1
390,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,1,1,1,1,1
398,1,1,1,1,1
399,1,1,1,1,1
400,0,0,1,1,0
401,1,1,0,1,1
402,1,0,NA,NA,NA
403,0,0,0,NA,NA
404,1,1,0,0,0
405,1,0,0,0,0
406,1,1,1,1,1
407,1,1,1,0,NA
408,NA,NA,NA,NA,0
409,1,1,1,1,0
410,0,0,0,0,0
411,1,1,0,1,1
412,1,1,0,0,NA
413,0,0,0,0,NA
414,0,0,0,0,0
415,0,0,0,0,0
416,1,1,1,0,0
