"","ID","Shrub","Grassland","For_Evergr","For_DecidMixed","cell_id","cc_cfo_mn","cbh_cfo_mn","fire1yr_high_prop","fire2_5yr_high_prop","fire6_10yr_high_prop","fire11_35yr_high_prop","fire1yr_lowmod_prop","fire2_5yr_lowmod_prop","fire6_10yr_lowmod_prop","fire11_35yr_lowmod_prop","Latitude","elev.resid","NaiveOcc"
"1","C0001_U1",0.036,0,0.964,0,1,34.5415185107718,2.79460363940598,0,0,0,0,0,0,0,0,40.00543022,530.030704854812,"Unoccupied"
"2","C0001_U3",0.015,0,0.985,0,1,40.6820083682008,2.58744769874477,0,0,0,0,0,0,0,0,40.00312608,561.536044727438,"Unoccupied"
"3","C0002_U1",0.006,0,0.994,0,2,60.9882624187801,1.60301823517082,0,0,0,0,0.0740203193033382,0,0,0,39.9230208,-242.950034089736,"Unoccupied"
"4","C0003_U2",0.245,0,0.751,0,3,43.8282786028028,2.48190755072161,0,0,0,0,0,0,0,0,39.97852723,692.64049325725,"Unoccupied"
"5","C0004_U2",0.013,0,0.987,0,4,61.9591366303437,1.73805532271584,0,0,0,0,0,0,0,0,39.94417277,240.626034600591,"Unoccupied"
"6","C0004_U3",0.024,0.008,0.968,0,4,63.3490368509213,1.57286432160804,0,0,0,0,0,0,0,0,39.94475564,376.531045997988,"Unoccupied"
"7","C0006_U2",0,0,1,0,6,51.3021552626072,2.10043942247332,0,0,0,0,0,0,0,0,40.25243508,61.6531778910279,"Unoccupied"
"8","C0006_U4",0,0,1,0,6,55.0250993516001,1.88307885379628,0,0,0,0,0,0,0,0,40.24979848,65.8603102730983,"Unoccupied"
"9","C0007_U1",0,0.002,0.623,0,7,41.8084347461183,1.23814519513219,0,0,0,0,0,0,0,0,40.10667245,-165.733827754053,"Unoccupied"
"10","C0009_U1",0.011,0,0.989,0,9,64.6951882845188,1.62238493723849,0,0,0,0,0,0,0,0,40.19888296,351.814464263836,"Unoccupied"
